#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:3-BSR-MG{FYL1G1C01A_T1:279}Fld:I,279,V:3-BSR,,,readback,FYL1G1C01A_T1,,Vertical Corrector
V:3-BSR-MG{FXL2G1C01A_T1:288}Fld:SP,288,V:3-BSR,,,setpoint,FXL2G1C01A_T1,,Horizontal Corrector
V:3-BSR-MG{FXL2G1C01A_T1:288}Fld:I,288,V:3-BSR,,,readback,FXL2G1C01A_T1,,Horizontal Corrector
V:3-BSR-MG{FYL2G1C01A_T1:289}Fld:SP,289,V:3-BSR,,,setpoint,FYL2G1C01A_T1,,Vertical Corrector
V:3-BSR-MG{FYL2G1C01A_T1:289}Fld:I,289,V:3-BSR,,,readback,FYL2G1C01A_T1,,Vertical Corrector
V:3-BSR-MG{SL1G2C01A_T1:294}Fld:SP,294,V:3-BSR,,,setpoint,SL1G2C01A_T1,K,Sextupole
V:3-BSR-MG{SL1G2C01A_T1:294}Fld:I,294,V:3-BSR,,,readback,SL1G2C01A_T1,K,Sextupole
V:3-BSR-BI{PL1G2C01A_T1:296}SA:X,296,V:3-BSR,,,readback,PL1G2C01A_T1,X,Beam Position Monitor
V:3-BSR-BI{PL1G2C01A_T1:296}SA:Y,296,V:3-BSR,,,readback,PL1G2C01A_T1,Y,Beam Position Monitor
V:3-BSR-MG{QL1G2C01A_T1:298}Fld:SP,298,V:3-BSR,,,setpoint,QL1G2C01A_T1,K,Quadrupole
V:3-BSR-MG{QL1G2C01A_T1:298}Fld:I,298,V:3-BSR,,,readback,QL1G2C01A_T1,K,Quadrupole
V:3-BSR-MG{CXL1G2C01A_T1:301}Fld:SP,301,V:3-BSR,,,setpoint,CXL1G2C01A_T1,,Horizontal Corrector
V:3-BSR-MG{CXL1G2C01A_T1:301}Fld:I,301,V:3-BSR,,,readback,CXL1G2C01A_T1,,Horizontal Corrector
V:3-BSR-MG{CYL1G2C01A_T1:302}Fld:SP,302,V:3-BSR,,,setpoint,CYL1G2C01A_T1,,Vertical Corrector
V:3-BSR-MG{CYL1G2C01A_T1:302}Fld:I,302,V:3-BSR,,,readback,CYL1G2C01A_T1,,Vertical Corrector
V:3-BSR-MG{SL2G2C01A_T1:305}Fld:SP,305,V:3-BSR,,,setpoint,SL2G2C01A_T1,K,Sextupole
V:3-BSR-MG{SL2G2C01A_T1:305}Fld:I,305,V:3-BSR,,,readback,SL2G2C01A_T1,K,Sextupole
